player_id,weights,Player Name,Market Value (mln €)
3990.0,0.1,Jesé Rodríguez Ruiz,49.4
3991.0,-0.2,Allan Romeo Nyom,38.7
4022.0,-0.6,Darren Fletcher,26.8
4036.0,-0.1,Bradden Inman,44.7
4040.0,-0.0,Peter Crouch,46.7
4041.0,0.2,José Salomón Rondón Giménez,54.5
4063.0,-0.3,Ahmed Elsayed Ali Elsayed Hegazy,35.2
4090.0,-0.1,Adam David Lallana,43.5
4129.0,-0.0,Tyler Roberts,46.8
4265.0,-0.0,Oussama Tannane,46.2
4267.0,0.1,Mouctar Diakhaby,51.2
4269.0,0.2,Aleksandar Mitrović,52.7
4272.0,-0.3,João Mário Naval da Costa Eduardo,37.3
4277.0,-0.2,"Papa Alioune N""Diaye",38.8
4319.0,0.3,Edinson Roberto Cavani Gómez,57.1
4320.0,-0.3,Neymar da Silva Santos Junior,36.1
4324.0,-0.4,Daniel Alves da Silva,32.2
4325.0,0.1,Thiago Motta,49.0
4345.0,-0.1,Lucas Ariel Ocampos,44.8
4346.0,-0.0,Gilbert Gianelli Imbula Wanga,45.6
4353.0,-0.2,Aymeric Laporte,39.0
4354.0,-0.1,Philip Foden,44.2
4355.0,-0.2,Emerson Palmieri dos Santos,40.5
4367.0,-0.1,Gonçalo Manuel Ganchinho Guedes,44.2
4372.0,0.0,Marcos Aoás Corrêa ,47.0
4375.0,-0.1,Blaise Matuidi,43.0
4394.0,-0.3,Peter Whittingham,36.2
4406.0,-0.1,Aymen Abdennour,42.8
4407.0,-0.1,Sanjin Prcić,44.9
4409.0,-0.1,Wesley Sneijder,43.8
4417.0,0.1,Ola Toivonen,49.3
4418.0,-0.1,Matheus Dória Macedo,44.1
4421.0,-0.1,Tomáš Hubočan,42.5
4430.0,-0.6,Neven Subotić,25.5
4443.0,-0.3,Paul Baysse,38.2
4445.0,-0.2,Jules Koundé,38.5
4447.0,0.0,Martin Braithwaite Christensen,48.0
4498.0,-0.1,Jean-Sylvain Claude Babin,45.1
4546.0,-0.2,Dimitri Foulquier,40.6
4558.0,0.0,Pape Cheikh Diop Gueye,47.6
4567.0,-0.0,David Brooks,45.3
4597.0,-0.1,Fabian Delph,42.1
4626.0,-0.1,Jan Bednarek,42.5
4628.0,-0.0,Diego Armando Valentin Contento,46.5
4629.0,-0.0,José Ramiro Funes Mori,45.5
4673.0,-0.3,Kamil Jóźwiak,37.3
4685.0,-0.4,Artur Jędrzejczyk,34.5
4706.0,-0.2,Kalvin Phillips,39.1
4709.0,-0.0,Pontus Jansson,46.5
4711.0,-0.1,Pablo Hernández Domínguez,44.1
4712.0,-0.0,Samuel Sáiz Alonso,45.9
4713.0,-0.5,Ezgjan Alioski,28.4
4724.0,-0.8,Glen Johnson,21.1
4740.0,-0.1,Daniel Pinillos González,45.1
4741.0,-0.2,Juan Rafael Fuentes Hernández,40.2
